Year,Units,Value
2014,Prozent,15.89
2015,Prozent,15.39
2016,Prozent,15.05
2017,Prozent,14.63
2018,Prozent,14.31
2019,Prozent,14.21
2020,Prozent,14.39
2021,Prozent,13.51
2022,Prozent,12.73
2030,Prozent,
