Indicator
#1-1-ab
#10-2
#11-2-a
#11-2-b
#11-2-c
#11-4-x
#12-1-b
#14-1-a
#17-2
#17-3
#3-1-ab
#3-1-ab-x
#3-1-cd
#3-1-e
#3-3
#5-1-bc
#5-1-e
#6-2-ab
#8-1
#8-2-ab
#9-1-b
