Year,Value,Units
2014,15.89,Prozent
2015,15.39,Prozent
2016,15.05,Prozent
2017,14.63,Prozent
2018,14.31,Prozent
2019,14.21,Prozent
2020,14.39,Prozent
2021,13.51,Prozent
2022,12.73,Prozent
2023,11.84,Prozent
2030,,Prozent
