Year,Value,Units,Series
2021,12.59,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde
2015,100.0,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2016,99.978,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2017,100.046,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2018,99.985,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2019,100.63,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2020,101.773,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2021,102.739,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2020,,2015 = 100,c) Nachhaltig beschaffte Textilien
