Year,Units,Value
2006,percentage,4.18
2007,percentage,
2008,percentage,
2009,percentage,4.23
2010,percentage,
2011,percentage,
2012,percentage,4.29
2013,percentage,
2014,percentage,
2015,percentage,4.31
2016,percentage,
2017,percentage,
2018,percentage,5.19
