Year,Units,Value
2006,percentage,23.0
2007,percentage,23.0
2008,percentage,23.0
2009,percentage,23.0
2010,percentage,22.0
2011,percentage,22.0
2012,percentage,23.0
2013,percentage,22.0
2014,percentage,22.0
2015,percentage,22.0
2016,percentage,21.0
2017,percentage,20.0
2018,percentage,20.0
2019,percentage,19.0
2020,percentage,18.0
2021,percentage,18.0
2022,percentage,18.0
2023,percentage,18.0
