Year,Units,Value
2014,percentage,15.89
2015,percentage,15.39
2016,percentage,15.05
2017,percentage,14.63
2018,percentage,14.31
2019,percentage,14.21
2020,percentage,14.39
2021,percentage,13.51
2022,percentage,12.73
2023,percentage,11.84
2030,percentage,
