Year,Value,Units
2014,15.89,percentage
2015,15.39,percentage
2016,15.05,percentage
2017,14.63,percentage
2018,14.31,percentage
2019,14.21,percentage
2020,14.39,percentage
2021,13.51,percentage
2022,12.73,percentage
2023,11.84,percentage
2030,,percentage
