Year,Units,Value
2006,Prozent,4.18
2007,Prozent,
2008,Prozent,
2009,Prozent,4.23
2010,Prozent,
2011,Prozent,
2012,Prozent,4.29
2013,Prozent,
2014,Prozent,
2015,Prozent,4.31
2016,Prozent,
2017,Prozent,
2018,Prozent,5.19
