Year,Units,Value
2006,Prozent,23.0
2007,Prozent,23.0
2008,Prozent,23.0
2009,Prozent,23.0
2010,Prozent,22.0
2011,Prozent,22.0
2012,Prozent,23.0
2013,Prozent,22.0
2014,Prozent,22.0
2015,Prozent,22.0
2016,Prozent,21.0
2017,Prozent,20.0
2018,Prozent,20.0
2019,Prozent,19.0
2020,Prozent,18.0
2021,Prozent,18.0
2022,Prozent,18.0
2023,Prozent,18.0
